FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004016271,a0j8p000001ydgD,Paid,2022-09-23T11:32:44Z
Success,N264220004015734,a0j8p000001yKSC,Paid,2022-09-23T11:32:44Z
Success,N264220004015803,a0j8p000001x2iU,Paid,2022-09-23T11:32:44Z
Success,N264220004016296,a0j8p000001zkxG,Paid,2022-09-23T11:32:44Z
Success,N264220004015978,a0j8p000001zyC5,Paid,2022-09-23T11:32:44Z
Success,N264220004016153,a0j8p000001zxHG,Paid,2022-09-23T11:32:44Z
Success,N264220004015794,a0j8p000001zyNd,Paid,2022-09-23T11:32:44Z
Rejected,N264220004015980,a0j8p000001zxgn,Blocked Account,2022-09-23T11:32:44Z
Rejected,N264220004015928,a0j8p000001zbnQ,Blocked Account,2022-09-23T11:32:44Z
Success,N264220004015929,a0j8p000001zaES,Paid,2022-09-23T11:32:44Z
Success,N264220004015927,a0j8p000001zZjK,Paid,2022-09-23T11:32:44Z
Success,N264220004016272,a0j8p000001zmVj,Paid,2022-09-23T11:32:44Z
Success,N264220004016012,a0j8p000001zUEt,Paid,2022-09-23T11:32:44Z
Success,N264220004016101,a0j8p000001zVYP,Paid,2022-09-23T11:32:44Z
Success,N264220004015753,a0j8p000001zTDj,Paid,2022-09-23T11:32:44Z
Success,N264220004015944,a0j8p000001xunf,Paid,2022-09-23T11:32:44Z
Success,N264220004015823,a0j8p000001y4u8,Paid,2022-09-23T11:32:44Z
Success,N264220004016222,a0j8p000001y5a8,Paid,2022-09-23T11:32:44Z
Success,N264220004015731,a0j8p000001yY60,Paid,2022-09-23T11:32:44Z
Success,N264220004015910,a0j8p000001zhqg,Paid,2022-09-23T11:32:44Z
Success,N264220004015996,a0j8p000001zzYo,Paid,2022-09-23T11:32:44Z
Success,N264220004016041,a0j8p000001zk5H,Paid,2022-09-23T11:32:44Z
Success,N264220004015821,a0j8p000001y4DL,Paid,2022-09-23T11:32:44Z
Success,N264220004016196,a0j8p000001zeQu,Paid,2022-09-23T11:32:44Z
Success,N264220004015771,a0j8p000001zrUX,Paid,2022-09-23T11:32:44Z
Success,N264220004015995,a0j8p000001zPyN,Paid,2022-09-23T11:32:44Z
Success,N264220004015991,a0j8p000001zZvC,Paid,2022-09-23T11:32:44Z
Success,N264220004016206,a0j8p000001zSEM,Paid,2022-09-23T11:32:44Z
Success,N264220004015814,a0j8p000001zZm9,Paid,2022-09-23T11:32:44Z
Success,N264220004016126,a0j8p000001zZZD,Paid,2022-09-23T11:32:44Z
Success,N264220004016077,a0j8p000001zqo3,Paid,2022-09-23T11:32:44Z
Success,N264220004016172,a0j8p000001zjUi,Paid,2022-09-23T11:32:44Z
Success,N264220004015869,a0j8p000001yNdd,Paid,2022-09-23T11:32:44Z
Success,N264220004015857,a0j8p000001zek2,Paid,2022-09-23T11:32:44Z
Success,N264220004015865,a0j8p000001ydeg,Paid,2022-09-23T11:32:44Z
Success,N264220004016246,a0j8p000001vCLJ,Paid,2022-09-23T11:32:44Z
