"ID","?CBS LOAN STATUS","ID","STATUS"
"0068p000003tjzdAAA","Disbursed","0068p000003tjzdAAA","Item Updated"
"0068p000003tjzOAAQ","Disbursed","0068p000003tjzOAAQ","Item Updated"
"0068p000003tjwXAAQ","Disbursed","0068p000003tjwXAAQ","Item Updated"
"0068p000003tjzJAAQ","Disbursed","0068p000003tjzJAAQ","Item Updated"
"0068p000003tjwrAAA","Disbursed","0068p000003tjwrAAA","Item Updated"
"0068p000003tnHCAAY","Disbursed","0068p000003tnHCAAY","Item Updated"
"0068p000003uNEkAAM","Disbursed","0068p000003uNEkAAM","Item Updated"
"0068p000003uCyYAAU","Disbursed","0068p000003uCyYAAU","Item Updated"
"0068p000003uDsgAAE","Disbursed","0068p000003uDsgAAE","Item Updated"
"0068p000003uCpWAAU","Disbursed","0068p000003uCpWAAU","Item Updated"
"0068p000003uCyEAAU","Disbursed","0068p000003uCyEAAU","Item Updated"
"0068p000003t5UsAAI","Disbursed","0068p000003t5UsAAI","Item Updated"
"0068p000003t5ShAAI","Disbursed","0068p000003t5ShAAI","Item Updated"
"0068p000003t5UdAAI","Disbursed","0068p000003t5UdAAI","Item Updated"
"0068p000003t5XNAAY","Disbursed","0068p000003t5XNAAY","Item Updated"
"0068p000003t5SsAAI","Disbursed","0068p000003t5SsAAI","Item Updated"
"0068p000003tFijAAE","Disbursed","0068p000003tFijAAE","Item Updated"
"0068p000003ueQoAAI","Disbursed","0068p000003ueQoAAI","Item Updated"
"0068p000003uekIAAQ","Disbursed","0068p000003uekIAAQ","Item Updated"
"0068p000003uCgGAAU","Disbursed","0068p000003uCgGAAU","Item Updated"
"0068p000003uCfIAAU","Disbursed","0068p000003uCfIAAU","Item Updated"
"0068p000003uCfmAAE","Disbursed","0068p000003uCfmAAE","Item Updated"
"0068p000003uCd2AAE","Disbursed","0068p000003uCd2AAE","Item Updated"
"0068p000003uXoHAAU","Disbursed","0068p000003uXoHAAU","Item Updated"
"0068p000003uP4UAAU","Disbursed","0068p000003uP4UAAU","Item Updated"
"0068p000003uLTJAA2","Disbursed","0068p000003uLTJAA2","Item Updated"
"0068p000003uP2sAAE","Disbursed","0068p000003uP2sAAE","Item Updated"
"0068p000003tZ2NAAU","Disbursed","0068p000003tZ2NAAU","Item Updated"
"0068p000003tYzJAAU","Disbursed","0068p000003tYzJAAU","Item Updated"
"0068p000003uS0OAAU","Disbursed","0068p000003uS0OAAU","Item Updated"
"0068p000003uS6aAAE","Disbursed","0068p000003uS6aAAE","Item Updated"
"0068p000003tYziAAE","Disbursed","0068p000003tYziAAE","Item Updated"
"0068p000003tYzdAAE","Disbursed","0068p000003tYzdAAE","Item Updated"
"0068p000003uCc4AAE","Disbursed","0068p000003uCc4AAE","Item Updated"
"0068p000003uCcdAAE","Disbursed","0068p000003uCcdAAE","Item Updated"
"0068p000003teDZAAY","Disbursed","0068p000003teDZAAY","Item Updated"
"0068p000003teCbAAI","Disbursed","0068p000003teCbAAI","Item Updated"
"0068p000003uDpcAAE","Disbursed","0068p000003uDpcAAE","Item Updated"
"0068p000003uDmeAAE","Disbursed","0068p000003uDmeAAE","Item Updated"
"0068p000003tpVqAAI","Disbursed","0068p000003tpVqAAI","Item Updated"
"0068p000003tEzjAAE","Disbursed","0068p000003tEzjAAE","Item Updated"
"0068p000003uCpMAAU","Disbursed","0068p000003uCpMAAU","Item Updated"
"0068p000003uWqFAAU","Disbursed","0068p000003uWqFAAU","Item Updated"
"0068p000003uQa7AAE","Disbursed","0068p000003uQa7AAE","Item Updated"
"0068p000003uQZ9AAM","Disbursed","0068p000003uQZ9AAM","Item Updated"
"0068p000003uQYfAAM","Disbursed","0068p000003uQYfAAM","Item Updated"
"0068p000003tb0oAAA","Disbursed","0068p000003tb0oAAA","Item Updated"
"0068p000003tb34AAA","Disbursed","0068p000003tb34AAA","Item Updated"
"0068p000003tb1IAAQ","Disbursed","0068p000003tb1IAAQ","Item Updated"
"0068p000003uRBcAAM","Disbursed","0068p000003uRBcAAM","Item Updated"
"0068p000003uR7GAAU","Disbursed","0068p000003uR7GAAU","Item Updated"
"0068p000003uRAeAAM","Disbursed","0068p000003uRAeAAM","Item Updated"
"0068p000003uOg0AAE","Disbursed","0068p000003uOg0AAE","Item Updated"
"0068p000003uDrOAAU","Disbursed","0068p000003uDrOAAU","Item Updated"
"0068p000003uDsWAAU","Disbursed","0068p000003uDsWAAU","Item Updated"
"0068p000003uNo1AAE","Disbursed","0068p000003uNo1AAE","Item Updated"
"0068p000003uLblAAE","Disbursed","0068p000003uLblAAE","Item Updated"
"0068p000003uLhWAAU","Disbursed","0068p000003uLhWAAU","Item Updated"
"0068p000003uLh7AAE","Disbursed","0068p000003uLh7AAE","Item Updated"
"0068p000003uLasAAE","Disbursed","0068p000003uLasAAE","Item Updated"
"0068p000003tFmbAAE","Disbursed","0068p000003tFmbAAE","Item Updated"
"0068p000003tFmCAAU","Disbursed","0068p000003tFmCAAU","Item Updated"
"0068p000003tFdUAAU","Disbursed","0068p000003tFdUAAU","Item Updated"
"0068p000003uCzxAAE","Disbursed","0068p000003uCzxAAE","Item Updated"
"0068p000003tabNAAQ","Disbursed","0068p000003tabNAAQ","Item Updated"
"0068p000003uCveAAE","Disbursed","0068p000003uCveAAE","Item Updated"
"0068p000003uD0HAAU","Disbursed","0068p000003uD0HAAU","Item Updated"
"0068p000003uCzdAAE","Disbursed","0068p000003uCzdAAE","Item Updated"
"0068p000003uRjzAAE","Disbursed","0068p000003uRjzAAE","Item Updated"
"0068p000003uBbaAAE","Disbursed","0068p000003uBbaAAE","Item Updated"
"0068p000003uBbVAAU","Disbursed","0068p000003uBbVAAU","Item Updated"
"0068p000003uReTAAU","Disbursed","0068p000003uReTAAU","Item Updated"
"0068p000003uemhAAA","Disbursed","0068p000003uemhAAA","Item Updated"
"0068p000003uReEAAU","Disbursed","0068p000003uReEAAU","Item Updated"
"0068p000003uRkEAAU","Disbursed","0068p000003uRkEAAU","Item Updated"
"0068p000003uBd2AAE","Disbursed","0068p000003uBd2AAE","Item Updated"
"0068p000003uBqOAAU","Disbursed","0068p000003uBqOAAU","Item Updated"
"0068p000003uRgZAAU","Disbursed","0068p000003uRgZAAU","Item Updated"
"0068p000003uBcaAAE","Disbursed","0068p000003uBcaAAE","Item Updated"
"0068p000003uBpVAAU","Disbursed","0068p000003uBpVAAU","Item Updated"
"0068p000003uFc2AAE","Disbursed","0068p000003uFc2AAE","Item Updated"
"0068p000003uXUiAAM","Disbursed","0068p000003uXUiAAM","Item Updated"
"0068p000003uXQLAA2","Disbursed","0068p000003uXQLAA2","Item Updated"
"0068p000003uXT1AAM","Disbursed","0068p000003uXT1AAM","Item Updated"
"0068p000003tnHMAAY","Disbursed","0068p000003tnHMAAY","Item Updated"
"0068p000003uX6oAAE","Disbursed","0068p000003uX6oAAE","Item Updated"
"0068p000003tabIAAQ","Disbursed","0068p000003tabIAAQ","Item Updated"
"0068p000003uCr8AAE","Disbursed","0068p000003uCr8AAE","Item Updated"
"0068p000003uN9UAAU","Disbursed","0068p000003uN9UAAU","Item Updated"
"0068p000003uNBvAAM","Disbursed","0068p000003uNBvAAM","Item Updated"
"0068p000003uNBbAAM","Disbursed","0068p000003uNBbAAM","Item Updated"
"0068p000003uNC5AAM","Disbursed","0068p000003uNC5AAM","Item Updated"
"0068p000003rNBjAAM","Disbursed","0068p000003rNBjAAM","Item Updated"
"0068p000003tv8CAAQ","Disbursed","0068p000003tv8CAAQ","Item Updated"
"0068p000003rN8kAAE","Disbursed","0068p000003rN8kAAE","Item Updated"
"0068p000003uU5HAAU","Disbursed","0068p000003uU5HAAU","Item Updated"
"0068p000003uU1dAAE","Disbursed","0068p000003uU1dAAE","Item Updated"
"0068p000003tvGRAAY","Disbursed","0068p000003tvGRAAY","Item Updated"
"0068p000003tpPTAAY","Disbursed","0068p000003tpPTAAY","Item Updated"
"0068p000003tpMnAAI","Disbursed","0068p000003tpMnAAI","Item Updated"
"0068p000003uQ8UAAU","Disbursed","0068p000003uQ8UAAU","Item Updated"
"0068p000003tdj4AAA","Disbursed","0068p000003tdj4AAA","Item Updated"
"0068p000003t5XhAAI","Disbursed","0068p000003t5XhAAI","Item Updated"
"0068p000003tFlxAAE","Disbursed","0068p000003tFlxAAE","Item Updated"
"0068p000003tFn5AAE","Disbursed","0068p000003tFn5AAE","Item Updated"
"0068p000003tYzTAAU","Disbursed","0068p000003tYzTAAU","Item Updated"
"0068p000003tb4lAAA","Disbursed","0068p000003tb4lAAA","Item Updated"
"0068p000003tlbXAAQ","Disbursed","0068p000003tlbXAAQ","Item Updated"
"0068p000003tpmcAAA","Disbursed","0068p000003tpmcAAA","Item Updated"
"0068p000003tpwQAAQ","Disbursed","0068p000003tpwQAAQ","Item Updated"
"0068p000003uD8nAAE","Disbursed","0068p000003uD8nAAE","Item Updated"
"0068p000003uZv5AAE","Disbursed","0068p000003uZv5AAE","Item Updated"
"0068p000003uZyOAAU","Disbursed","0068p000003uZyOAAU","Item Updated"
"0068p000003teiQAAQ","Disbursed","0068p000003teiQAAQ","Item Updated"
"0068p000003rN8zAAE","Disbursed","0068p000003rN8zAAE","Item Updated"
"0068p000003rNBUAA2","Disbursed","0068p000003rNBUAA2","Item Updated"
"0068p000003rNC3AAM","Disbursed","0068p000003rNC3AAM","Item Updated"
"0068p000003tEbZAAU","Disbursed","0068p000003tEbZAAU","Item Updated"
"0068p000003tEvzAAE","Disbursed","0068p000003tEvzAAE","Item Updated"
"0068p000003tEzUAAU","Disbursed","0068p000003tEzUAAU","Item Updated"
"0068p000003tFSwAAM","Disbursed","0068p000003tFSwAAM","Item Updated"
"0068p000003tFTQAA2","Disbursed","0068p000003tFTQAA2","Item Updated"
"0068p000003tnHlAAI","Disbursed","0068p000003tnHlAAI","Item Updated"
"0068p000003tnLTAAY","Disbursed","0068p000003tnLTAAY","Item Updated"
"0068p000003tovgAAA","Disbursed","0068p000003tovgAAA","Item Updated"
"0068p000003tpHAAAY","Disbursed","0068p000003tpHAAAY","Item Updated"
"0068p000003tpPOAAY","Disbursed","0068p000003tpPOAAY","Item Updated"
"0068p000003tpXmAAI","Disbursed","0068p000003tpXmAAI","Item Updated"
"0068p000003tvGbAAI","Disbursed","0068p000003tvGbAAI","Item Updated"
"0068p000003tvKdAAI","Disbursed","0068p000003tvKdAAI","Item Updated"
"0068p000003uBidAAE","Disbursed","0068p000003uBidAAE","Item Updated"
"0068p000003uBjbAAE","Disbursed","0068p000003uBjbAAE","Item Updated"
"0068p000003uBrHAAU","Disbursed","0068p000003uBrHAAU","Item Updated"
"0068p000003uBr2AAE","Disbursed","0068p000003uBr2AAE","Item Updated"
"0068p000003uCrcAAE","Disbursed","0068p000003uCrcAAE","Item Updated"
"0068p000003uCtvAAE","Disbursed","0068p000003uCtvAAE","Item Updated"
"0068p000003uNBlAAM","Disbursed","0068p000003uNBlAAM","Item Updated"
"0068p000003uNEIAA2","Disbursed","0068p000003uNEIAA2","Item Updated"
"0068p000003uU2hAAE","Disbursed","0068p000003uU2hAAE","Item Updated"
"0068p000003uU7XAAU","Disbursed","0068p000003uU7XAAU","Item Updated"
"0068p000003uWkXAAU","Disbursed","0068p000003uWkXAAU","Item Updated"
"0068p000003uWk3AAE","Disbursed","0068p000003uWk3AAE","Item Updated"
"0068p000003uX49AAE","Disbursed","0068p000003uX49AAE","Item Updated"
"0068p000003uX8kAAE","Disbursed","0068p000003uX8kAAE","Item Updated"
"0068p000003uXTfAAM","Disbursed","0068p000003uXTfAAM","Item Updated"
