ID,FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE,STATUS
a0j8p000001mrONAAY,Success,N253220003969939,a0j8p000001mrONAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n08gAAA,Success,N253220003969952,a0j8p000001n08gAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nIBtAAM,Success,N253220003969894,a0j8p000001nIBtAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npMYAAY,Success,N253220003969713,a0j8p000001npMYAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nLPLAA2,Success,N253220003969917,a0j8p000001nLPLAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nK4pAAE,Success,N253220003970121,a0j8p000001nK4pAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nu5XAAQ,Success,N253220003969929,a0j8p000001nu5XAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001noIxAAI,Success,N253220003970013,a0j8p000001noIxAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001noHaAAI,Success,N253220003969709,a0j8p000001noHaAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mIh0AAE,Success,N253220003970130,a0j8p000001mIh0AAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mKlWAAU,Success,N253220003969719,a0j8p000001mKlWAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mTGpAAM,Success,N253220003970002,a0j8p000001mTGpAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nIjiAAE,Success,N253220003969915,a0j8p000001nIjiAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nr6oAAA,Success,N253220003969872,a0j8p000001nr6oAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001ny1RAAQ,Success,N253220003970059,a0j8p000001ny1RAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nnmAAAQ,Success,N253220003969812,a0j8p000001nnmAAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nYGrAAM,Success,N253220003969770,a0j8p000001nYGrAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nYS0AAM,Success,N253220003969768,a0j8p000001nYS0AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nYj3AAE,Success,N253220003970136,a0j8p000001nYj3AAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npZ6AAI,Success,N253220003969764,a0j8p000001npZ6AAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nrBtAAI,Success,N253220003970115,a0j8p000001nrBtAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nTBrAAM,Success,N253220003969937,a0j8p000001nTBrAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nnsyAAA,Rejected,N253220003969716,a0j8p000001nnsyAAA,Account Does Not Exist,2022-09-12T06:35:28Z,Item Updated
a0j8p000001norMAAQ,Success,N253220003970069,a0j8p000001norMAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n1YqAAI,Success,N253220003969852,a0j8p000001n1YqAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHZrAAM,Success,N253220003969824,a0j8p000001nHZrAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mqzxAAA,Success,N253220003969902,a0j8p000001mqzxAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001krfSAAQ,Success,N253220003970049,a0j8p000001krfSAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nGSDAA2,Success,N253220003969862,a0j8p000001nGSDAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001o1c9AAA,Success,N253220003969897,a0j8p000001o1c9AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nyWtAAI,Success,N253220003969875,a0j8p000001nyWtAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mt3GAAQ,Success,N253220003970055,a0j8p000001mt3GAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mEbtAAE,Success,N253220003969877,a0j8p000001mEbtAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mrneAAA,Success,N253220003969732,a0j8p000001mrneAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mqhrAAA,Success,N253220003969895,a0j8p000001mqhrAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001o046AAA,Success,N253220003969974,a0j8p000001o046AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mx7eAAA,Success,N253220003969907,a0j8p000001mx7eAAA,Paid,2022-09-12T06:35:28Z,Item Updated
